TIMESTAMP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,EXPIRY_DT,OPEN_INT,CONTRACTS
2010-01-04,266.8,268.0,264.5,264.95,264.95,2010-01-28,11683000.0,1264.0
2010-01-05,265.95,266.1,263.05,263.85,263.85,2010-01-28,12427000.0,2194.0
2010-01-06,263.8,265.45,262.75,265.0,265.0,2010-01-28,12400000.0,1741.0
2010-01-07,265.5,266.9,264.1,265.25,265.25,2010-01-28,12314000.0,2323.0
2010-01-08,264.8,266.55,264.4,265.95,265.95,2010-01-28,12271000.0,1677.0
2010-01-11,266.9,268.4,266.0,266.2,266.2,2010-01-28,12328000.0,1527.0
2010-01-12,265.6,266.5,261.2,262.45,262.45,2010-01-28,12608000.0,2687.0
2010-01-13,261.95,264.0,261.15,262.85,262.85,2010-01-28,12474000.0,1352.0
2010-01-14,263.2,263.7,256.0,256.65,256.65,2010-01-28,13307000.0,3127.0
2010-01-15,256.2,258.75,256.2,257.15,257.15,2010-01-28,13554000.0,1848.0
2010-01-18,257.1,258.6,255.0,257.75,257.75,2010-01-28,10531000.0,4597.0
2010-01-19,258.1,259.35,254.5,255.05,255.05,2010-01-28,10729000.0,1584.0
2010-01-20,255.5,257.85,252.95,256.95,256.95,2010-01-28,9671000.0,4083.0
2010-01-21,256.6,260.05,255.35,256.1,256.1,2010-01-28,8959000.0,4794.0
2010-01-22,253.1,258.35,251.1,257.25,257.25,2010-01-28,7504000.0,6054.0
2010-01-25,256.55,263.45,255.15,262.65,262.65,2010-01-28,5878000.0,4781.0
2010-01-27,260.0,262.25,255.4,259.55,259.55,2010-01-28,3529000.0,6341.0
2010-01-28,260.55,262.05,253.55,255.25,255.25,2010-02-25,12635000.0,4510.0
2010-01-29,252.15,252.65,242.0,242.9,242.9,2010-02-25,13083000.0,6335.0
2010-02-01,243.4,243.7,235.3,237.9,237.9,2010-02-25,13145000.0,3340.0
2010-02-02,239.3,239.95,235.4,237.25,237.25,2010-02-25,11746000.0,5504.0
2010-02-03,237.55,238.85,235.6,237.05,237.05,2010-02-25,13217000.0,4257.0
2010-02-04,236.25,239.4,230.65,231.4,231.4,2010-02-25,14639000.0,5859.0
2010-02-05,228.0,234.75,227.2,229.6,229.6,2010-02-25,14324000.0,3997.0
2010-02-08,230.5,238.05,230.1,236.1,236.1,2010-02-25,13545000.0,4207.0
2010-02-09,236.95,237.9,232.75,233.1,233.1,2010-02-25,13728000.0,1987.0
2010-02-10,233.25,233.35,229.1,229.75,229.75,2010-02-25,13877000.0,3559.0
2010-02-11,230.15,233.9,230.15,232.75,232.75,2010-02-25,13361000.0,1946.0
2010-02-15,232.75,234.2,229.45,230.0,230.0,2010-02-25,13677000.0,1457.0
2010-02-16,229.8,238.0,229.8,236.7,236.7,2010-02-25,12778000.0,2543.0
2010-02-17,238.8,243.0,238.2,239.45,239.45,2010-02-25,12338000.0,4127.0
2010-02-18,238.45,242.6,237.1,241.65,241.65,2010-02-25,12350000.0,1590.0
2010-02-19,240.0,244.0,236.5,239.3,239.3,2010-02-25,11802000.0,9211.0
2010-02-22,223.1,245.3,223.1,244.75,244.75,2010-02-25,8690000.0,6423.0
2010-02-23,243.5,244.85,242.0,243.45,243.45,2010-02-25,7025000.0,3020.0
2010-02-24,243.0,244.5,240.4,242.2,242.2,2010-02-25,4356000.0,6350.0
2010-02-25,242.0,242.0,231.1,233.5,233.5,2010-03-25,13996000.0,4801.0
2010-02-26,233.8,239.25,233.35,234.4,234.4,2010-03-25,14256000.0,3325.0
2010-03-02,235.5,235.5,231.95,233.25,233.25,2010-03-25,14701000.0,1975.0
2010-03-03,234.0,238.0,233.2,237.45,237.45,2010-03-25,15207000.0,2648.0
2010-03-04,237.75,242.0,234.1,241.35,241.35,2010-03-25,15654000.0,3157.0
2010-03-05,241.1,242.5,240.0,241.0,241.0,2010-03-25,15766000.0,1222.0
2010-03-08,241.0,242.5,235.55,236.4,236.4,2010-03-25,17992000.0,3713.0
2010-03-09,236.5,237.9,234.5,235.05,235.05,2010-03-25,18490000.0,1612.0
2010-03-10,233.1,238.7,233.1,238.15,238.15,2010-03-25,18424000.0,1386.0
2010-03-11,237.5,237.5,228.75,229.5,229.5,2010-03-25,19140000.0,5347.0
2010-03-12,228.65,228.85,219.1,219.95,219.95,2010-03-25,19647000.0,8251.0
2010-03-15,220.0,225.8,219.0,224.65,224.65,2010-03-25,19173000.0,4932.0
2010-03-16,225.9,226.9,224.55,226.35,226.35,2010-03-25,18829000.0,2037.0
2010-03-17,226.8,228.35,223.35,224.3,224.3,2010-03-25,15971000.0,7171.0
2010-03-18,223.7,226.65,223.7,225.65,225.65,2010-03-25,12730000.0,6245.0
2010-03-19,225.5,229.75,225.5,228.95,228.95,2010-03-25,12074000.0,5846.0
2010-03-22,227.0,229.5,226.5,228.05,228.05,2010-03-25,9431000.0,4967.0
2010-03-23,229.0,229.9,227.65,228.4,228.4,2010-03-25,4787000.0,7890.0
2010-03-25,227.25,232.7,227.25,231.65,231.65,2010-04-29,17789000.0,4345.0
2010-03-26,230.0,236.55,230.0,236.1,236.1,2010-04-29,19036000.0,5004.0
2010-03-29,236.5,239.4,235.5,237.2,237.2,2010-04-29,19346000.0,2141.0
2010-03-30,237.7,240.3,236.7,239.25,239.25,2010-04-29,19211000.0,1589.0
2010-03-31,238.5,239.5,236.6,237.5,237.5,2010-04-29,19178000.0,1402.0
2010-04-01,238.2,238.65,230.3,230.65,230.65,2010-04-29,19141000.0,3614.0
2010-04-05,231.1,231.8,226.7,228.05,228.05,2010-04-29,19517000.0,2909.0
2010-04-06,227.7,230.25,227.3,229.75,229.75,2010-04-29,19621000.0,1480.0
2010-04-07,229.8,231.0,224.9,225.45,225.45,2010-04-29,20735000.0,3229.0
2010-04-08,225.05,226.7,222.0,222.4,222.4,2010-04-29,21867000.0,3272.0
2010-04-09,223.75,223.75,221.0,222.05,222.05,2010-04-29,21776000.0,2504.0
2010-04-12,222.5,224.9,222.5,224.3,224.3,2010-04-29,21794000.0,2484.0
2010-04-13,224.5,225.15,223.1,223.45,223.45,2010-04-29,21929000.0,1240.0
2010-04-15,224.85,226.85,224.2,224.8,224.8,2010-04-29,21534000.0,2646.0
2010-04-16,224.8,226.8,223.75,226.4,226.4,2010-04-29,21444000.0,1990.0
2010-04-19,225.0,225.7,223.1,223.9,223.9,2010-04-29,21222000.0,3328.0
2010-04-20,223.75,227.6,223.1,227.1,227.1,2010-04-29,19075000.0,5622.0
2010-04-21,227.7,232.95,227.25,231.1,231.1,2010-04-29,20147000.0,7115.0
2010-04-22,230.5,239.0,230.05,236.1,236.1,2010-04-29,20629000.0,6392.0
2010-04-23,234.65,239.8,233.45,237.2,237.2,2010-04-29,20447000.0,4175.0
2010-04-26,237.5,240.3,237.0,239.7,239.7,2010-04-29,16516000.0,6612.0
2010-04-27,239.3,242.5,238.65,241.3,241.3,2010-04-29,14182000.0,6353.0
2010-04-28,240.0,242.9,238.8,241.05,241.05,2010-04-29,8648000.0,9282.0
2010-04-29,240.7,240.75,228.75,230.5,230.5,2010-05-27,21171000.0,10772.0
2010-04-30,232.0,235.6,231.3,234.7,234.7,2010-05-27,21558000.0,2082.0
2010-05-03,234.35,234.9,230.75,231.35,231.35,2010-05-27,21899000.0,1060.0
2010-05-04,231.9,233.9,230.5,232.0,232.0,2010-05-27,21218000.0,2228.0
2010-05-05,230.7,234.0,226.75,228.05,228.05,2010-05-27,21752000.0,2479.0
2010-05-06,228.6,232.5,228.05,229.8,229.8,2010-05-27,21868000.0,2311.0
2010-05-07,229.0,233.2,228.35,231.15,231.15,2010-05-27,21741000.0,2604.0
2010-05-10,233.0,236.7,232.9,234.0,234.0,2010-05-27,21218000.0,2210.0
2010-05-11,234.0,234.5,230.35,233.9,233.9,2010-05-27,21076000.0,1498.0
2010-05-12,233.2,236.5,233.05,234.65,234.65,2010-05-27,21237000.0,1607.0
2010-05-13,236.0,240.1,234.65,238.05,238.05,2010-05-27,18646000.0,5691.0
2010-05-14,237.5,240.7,232.5,233.35,233.35,2010-05-27,18057000.0,2539.0
2010-05-17,232.2,240.4,230.6,239.35,239.35,2010-05-27,17188000.0,3725.0
2010-05-18,238.75,242.85,236.75,239.95,239.95,2010-05-27,16735000.0,3588.0
2010-05-19,239.2,240.2,232.5,233.9,233.9,2010-05-27,16873000.0,3193.0
2010-05-20,234.15,237.75,232.0,236.2,236.2,2010-05-27,17009000.0,2197.0
2010-05-21,234.9,237.2,230.55,231.6,231.6,2010-05-27,14260000.0,7166.0
2010-05-24,232.6,234.5,228.75,231.75,231.75,2010-05-27,13058000.0,4419.0
2010-05-25,230.0,231.25,225.6,230.4,230.4,2010-05-27,10706000.0,8047.0
2010-05-26,231.0,232.7,228.1,231.8,231.8,2010-05-27,6631000.0,8556.0
2010-05-27,228.4,233.5,228.4,231.05,231.05,2010-06-24,14649000.0,7871.0
2010-05-28,231.5,234.85,230.15,234.15,234.15,2010-06-24,14867000.0,2245.0
2010-05-31,234.0,237.35,233.7,235.25,235.25,2010-06-24,15332000.0,1888.0
2010-06-01,234.4,235.8,231.7,232.7,232.7,2010-06-24,15816000.0,1818.0
2010-06-02,232.25,237.5,231.0,236.35,236.35,2010-06-24,16148000.0,2205.0
2010-06-03,237.2,250.1,237.2,246.7,246.7,2010-06-24,16814000.0,5707.0
2010-06-04,249.75,256.2,248.0,251.65,251.65,2010-06-24,16077000.0,8537.0
2010-06-07,249.35,253.8,243.0,251.5,251.5,2010-06-24,16113000.0,4043.0
2010-06-08,252.2,257.3,250.0,252.05,252.05,2010-06-24,16768000.0,5472.0
2010-06-09,254.35,254.35,249.6,250.5,250.5,2010-06-24,17028000.0,2546.0
2010-06-10,250.65,253.75,250.15,252.95,252.95,2010-06-24,16737000.0,1956.0
2010-06-11,254.4,255.15,252.5,253.9,253.9,2010-06-24,16563000.0,1526.0
2010-06-14,258.05,259.0,252.4,256.2,256.2,2010-06-24,15743000.0,3078.0
2010-06-15,256.45,262.65,255.35,261.4,261.4,2010-06-24,14796000.0,4771.0
2010-06-16,261.5,261.5,255.95,256.7,256.7,2010-06-24,13238000.0,3717.0
2010-06-17,257.0,257.05,249.25,253.75,253.75,2010-06-24,12527000.0,3433.0
2010-06-18,254.4,258.7,251.5,257.35,257.35,2010-06-24,12092000.0,3148.0
2010-06-21,258.5,260.55,256.55,258.45,258.45,2010-06-24,10412000.0,3049.0
2010-06-22,258.95,265.0,258.6,261.75,261.75,2010-06-24,9036000.0,4454.0
2010-06-23,261.9,269.5,260.5,266.5,266.5,2010-06-24,6638000.0,6053.0
2010-06-24,263.75,270.0,263.4,267.6,267.6,2010-07-29,9767000.0,7665.0
2010-06-25,265.7,267.1,261.1,263.4,263.4,2010-07-29,9967000.0,2370.0
2010-06-28,263.05,266.7,262.8,264.15,264.15,2010-07-29,10220000.0,1553.0
2010-06-29,263.4,266.95,259.1,260.95,260.95,2010-07-29,10401000.0,2169.0
2010-06-30,260.85,265.5,259.5,264.3,264.3,2010-07-29,10451000.0,2359.0
2010-07-01,262.95,269.5,261.55,268.45,268.45,2010-07-29,10523000.0,2965.0
2010-07-02,268.85,270.45,265.4,266.15,266.15,2010-07-29,10681000.0,1427.0
2010-07-05,265.55,266.7,263.3,264.55,264.55,2010-07-29,10716000.0,968.0
2010-07-06,264.2,266.45,263.05,265.6,265.6,2010-07-29,10680000.0,938.0
2010-07-07,265.15,266.1,262.7,264.7,264.7,2010-07-29,10789000.0,1229.0
2010-07-08,265.05,268.8,264.55,267.0,267.0,2010-07-29,10800000.0,1261.0
2010-07-09,267.75,267.75,262.45,263.4,263.4,2010-07-29,11105000.0,1463.0
2010-07-12,263.2,265.5,262.0,263.2,263.2,2010-07-29,11122000.0,1264.0
2010-07-13,263.85,263.95,259.35,261.4,261.4,2010-07-29,11205000.0,1651.0
2010-07-14,262.75,262.75,257.1,258.95,258.95,2010-07-29,11499000.0,1412.0
2010-07-15,258.5,264.4,258.5,263.45,263.45,2010-07-29,11404000.0,1817.0
2010-07-16,263.85,266.75,261.6,266.0,266.0,2010-07-29,11543000.0,1977.0
2010-07-19,265.85,268.8,263.8,264.65,264.65,2010-07-29,11754000.0,1749.0
2010-07-20,264.65,264.65,261.5,263.0,263.0,2010-07-29,11662000.0,1242.0
